A;B;DISTANCE;LINKTYPE;JURISDICTIO;CAPINDEX;TIME_SPDFLA;TIME_SPD;CAPACITY;VL01;VL02;VL03;VL04;VL05;VL06;VL07;VL08;VL09;VL10;VL11;VL12;VL13;VL14;VL15;VL16;VL17;VL18;FFTM;VL20
256;36;0,14;9;1;21;T;0,25;693;14,75;4,60;12,73;11,41;14,87;0;58,36;32,08;0,08;33,60;0;0;0;0;0;0;0;0;0;0
255;37;0,25;9;1;21;T;0,61;693;46,21;24,84;109,36;46,42;13,61;0;240,44;180,41;0,35;24,59;0;0;0;0;0;0;0;0;0;0
287;38;0,28;9;1;21;T;0,90;693;93,73;20,66;48,99;107,90;32,07;0;303,35;163,38;0,44;18,67;0;0;0;0;0;0;0;0;0;0
289;40;0,10;9;1;21;T;0,22;693;0,39;0,04;0,10;1,08;0,46;0;2,07;0,53;0,00;27,27;0;0;0;0;0;0;0;0;0;0
331;41;0,15;4;1;13;T;0,30;1000;421,09;62,96;118,07;49,85;35,08;0;687,05;602,12;0,69;30,00;0;0;0;0;0;0;0;0;0;0
292;42;0,14;8;1;22;T;0,29;495;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;28,97;0;0;0;0;0;0;0;0;0;0
253;43;0,14;7;1;18;T;0,31;858;251,81;26,42;81,84;72,14;32,61;0;464,82;360,07;0,54;27,10;0;0;0;0;0;0;0;0;0;0
237;44;0,11;6;1;14;T;0,11;1730;576,60;44,82;68,21;77,55;24,34;0;791,52;689,63;0,46;60,00;0;0;0;0;0;0;0;0;0;0
241;44;0,41;3;1;12;T;0,53;2740;1069,57;81,25;121,24;103,94;33,61;0;1409,61;1272,06;0,51;46,42;0;0;0;0;0;0;0;0;0;0
336;45;0,47;6;1;12;T;0,45;2540;402,57;50,95;135,13;52,01;10,36;0;651,02;588,65;0,26;62,67;0;0;0;0;0;0;0;0;0;0
336;46;0,45;7;1;19;T;1,32;715;419,62;31,19;45,45;26,09;1,08;0;523,43;496,26;0,73;20,45;0;0;0;0;0;0;0;0;0;0
348;47;0,24;7;10;18;T;0,46;858;176,62;19,44;82,65;63,35;7,85;0;349,91;278,71;0,41;31,30;0;0;0;0;0;0;0;0;0;0
349;48;0,49;11;1;19;T;0,93;715;162,08;11,70;45,78;30,41;1,88;1;252,85;219,56;0,35;31,61;0;0;0;0;0;0;0;0;0;0
603;49;0,69;15;10;12;T;0,58;1270;0,00;0,00;0,00;0,00;0,00;1;1,00;0,00;0,00;71,38;0;0;0;0;0;0;0;0;0;0
612;50;0,74;7;1;8;T;0,86;3000;925,57;242,09;366,67;216,38;64,03;1;1815,74;1534,33;0,61;51,63;0;0;0;0;0;0;0;0;0;0
296;51;0,46;8;1;19;T;0,76;715;57,55;14,26;70,26;51,93;6,26;1;201,26;142,07;0,28;36,32;0;0;0;0;0;0;0;0;0;0
361;52;0,49;11;1;19;T;0,70;715;49,95;4,21;44,00;13,01;2,64;1;114,81;98,16;0,16;42,00;0;0;0;0;0;0;0;0;0;0
319;53;0,36;11;1;19;T;1,00;165;54,85;5,65;13,85;20,77;2,44;0;97,56;74,35;0,59;21,60;0;0;0;0;0;0;0;0;0;0
320;54;0,76;11;1;19;T;1,01;715;7,37;1,07;19,61;10,84;8,43;1;48,32;28,05;0,07;45,15;0;0;0;0;0;0;0;0;0;0
358;54;0,37;11;1;18;T;0,47;1958;193,42;17,97;57,26;45,85;12,56;0;327,06;268,65;0,17;47,23;0;0;0;0;0;0;0;0;0;0
351;72;0,44;7;10;18;T;0,78;858;148,31;26,49;81,99;62,96;12,78;1;333,53;256,79;0,39;33,85;0;0;0;0;0;0;0;0;0;0
336;73;0,40;11;1;19;T;1,15;715;339,36;27,47;88,39;54,45;7,00;1;517,67;455,22;0,72;20,87;0;0;0;0;0;0;0;0;0;0
606;75;0,28;6;1;12;T;0,26;1750;219,88;14,20;87,10;55,09;11,14;0;387,41;321,18;0,22;64,62;0;0;0;0;0;0;0;0;0;0
608;75;0,30;2;1;12;T;0,34;2540;570,90;127,69;229,08;80,78;13,18;0;1021,63;927,67;0,40;52,94;0;0;0;0;0;0;0;0;0;0
614;76;0,67;4;10;12;T;0,88;1000;296,94;23,22;132,73;62,03;12,64;1;528,56;452,89;0,53;45,68;0;0;0;0;0;0;0;0;0;0
729;77;0,10;16;1;12;T;0,08;1270;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;75,00;0;0;0;0;0;0;0;0;0;0
730;78;0,10;7;1;12;T;0,12;1270;320,00;55,34;100,15;106,97;30,40;0;612,86;475,49;0,48;50,00;0;0;0;0;0;0;0;0;0;0
732;80;0,07;7;1;12;T;0,06;1270;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;70,00;0;0;0;0;0;0;0;0;0;0
735;83;0,15;16;1;13;T;0,16;500;0,00;0,00;0,00;0,00;0,00;0;0,00;0,00;0,00;56,25;0;0;0;0;0;0;0;0;0;0
736;84;0,14;8;1;13;T;0,25;500;159,03;14,94;39,10;63,03;20,16;0;296,26;213,07;0,59;33,60;0;0;0;0;0;0;0;0;0;0
225;222;0,34;6;1;14;T;0,31;1730;211,22;105,46;165,07;60,14;6,24;0;548,13;481,75;0,32;65,81;0;0;0;0;0;0;0;0;0;0
