N;;;X;Y;HIERNODE;SLABEL;LLABEL;SUB_TYPE;OLD_NODE
34;5238;375;425238;564291;0;;;2;5633
35;5442;873;425442;564789;0;;;2;5639
36;5064;272;425064;564188;0;;;2;5647
37;5019;142;425019;564058;0;;;2;5670
38;4923;89;424923;564005;0;;;2;5674
39;4414;27;424414;563943;0;;;2;5709
40;4619;62;424619;563978;0;;;2;5712
41;4261;160;424261;564076;0;;;2;5717
42;4337;20;424337;563936;0;;;2;5748
43;5646;1239;425646;565155;0;;;2;5750
44;5267;422;425267;564338;0;;;2;5761
45;5600;4684;425600;568600;0;;;2;6295
46;6007;4286;426007;568202;0;;;2;6297
47;3098;3909;423098;567825;0;;;2;6322
48;3635;4425;423635;568341;0;;;2;6325
49;4259;6089;424259;570005;0;;;2;6330
50;6724;2455;426724;566371;0;;;2;6454
51;3800;272;423800;564188;0;;;2;6487
52;2591;1649;422591;565565;0;;;2;6495
53;3540;688;423540;564604;0;;;2;6568
54;3091;1151;423091;565067;0;;;2;6570
72;3860;5208;423860;569124;0;;;2;9030
73;5750;3856;425750;567772;0;;;2;9034
74;2954;2313;422954;566229;0;;;2;9175
75;2952;2249;422952;566165;0;;;2;9176
76;4270;6081;424270;569997;0;;;2;9275
77;5413;577;425413;564493;0;;;2;9406
78;5413;578;425413;564494;0;;;2;9409
79;5412;575;425412;564491;0;;;2;9411
80;5412;574;425412;564490;0;;;2;9413
81;4268;159;424268;564075;0;;;2;9445
82;4271;156;424271;564072;0;;;2;9447
83;4610;64;424610;563980;0;;;2;9449
84;4609;68;424609;563984;0;;;2;9452
222;4117;1704;424117;565620;0;;;0;5603
223;4448;1645;424448;565561;0;;;0;5604
224;4651;1534;424651;565450;0;;;0;5605
225;4406;1517;424406;565433;0;;;0;5606
226;4512;1442;424512;565358;0;;;0;5607
227;4814;1629;424814;565545;0;;;0;5608
228;4925;1523;424925;565439;0;;;0;5609
229;4850;1451;424850;565367;0;;;0;5610
230;4950;1506;424950;565422;0;;;0;5611
231;5165;1412;425165;565328;0;;;0;5612
232;5159;1378;425159;565294;0;;;0;5613
233;5314;1159;425314;565075;0;;;0;5614
234;5356;1127;425356;565043;0;;;0;5615
235;5336;1095;425336;565011;0;;;0;5616
236;5339;574;425339;564490;0;;;0;5618
237;5309;528;425309;564444;0;;;3;5619
238;5315;575;425315;564491;0;;;0;5620
239;5232;616;425232;564532;0;;;0;5621
240;5325;636;425325;564552;0;;;0;5622
241;5330;826;425330;564742;0;;;3;5623
242;5254;655;425254;564571;0;;;0;5624
243;5204;671;425204;564587;0;;;0;5625
244;5235;640;425235;564556;0;;;0;5626
245;5241;587;425241;564503;0;;;0;5627
246;5228;548;425228;564464;0;;;0;5628
248;4812;1930;424812;565846;0;;;0;5630
249;4883;1267;424883;565183;0;;;0;5631
250;5234;424;425234;564340;0;;;3;5632
251;5453;1527;425453;565443;0;;;0;5635
252;5506;1565;425506;565481;0;;;0;5636
253;5568;1355;425568;565271;0;;;3;5637
254;5481;1301;425481;565217;0;;;0;5638
255;4900;360;424900;564276;0;;;3;5666
256;4994;388;424994;564304;0;;;3;5676
257;4970;435;424970;564351;0;;;0;5677
258;4883;407;424883;564323;0;;;0;5678
259;5165;521;425165;564437;0;;;0;5679
260;4968;439;424968;564355;0;;;0;5680
261;4925;558;424925;564474;0;;;0;5681
262;5132;596;425132;564512;0;;;0;5682
263;5167;515;425167;564431;0;;;0;5683
264;5036;715;425036;564631;0;;;0;5684
